id,control,category,risk,keywords,framework_mappings
AC-01,Access Control Policy & Procedures,Access Control,HIGH,access control policy; access policy; access procedures; access management policy,"FedRAMP: AC-1, NIST_800_53: AC-1, CMMC: AC.L1-3.1.1, SOC2: CC6.1"
AC-02,Account Management,Access Control,HIGH,account management; user accounts; account lifecycle; provisioning; deprovisioning; user onboarding; offboarding,"FedRAMP: AC-2, NIST_800_53: AC-2, CMMC: AC.L1-3.1.1, SOC2: CC6.2"
AC-03,Least Privilege / Role-Based Access,Access Control,HIGH,least privilege; role-based access; rbac; minimum necessary; need to know; permissions; roles,"FedRAMP: AC-6, NIST_800_53: AC-6, CMMC: AC.L1-3.1.2, SOC2: CC6.3"
AC-04,Multi-Factor Authentication (MFA),Access Control,HIGH,mfa; multi-factor; two-factor; 2fa; authentication; piv; cac,"FedRAMP: IA-2(1), NIST_800_53: IA-2, CMMC: IA.L2-3.5.3, SOC2: CC6.1"
AC-05,Remote Access Controls,Access Control,MEDIUM,remote access; vpn; remote desktop; rdp; ssh; telework,"FedRAMP: AC-17, NIST_800_53: AC-17, CMMC: AC.L2-3.1.12, SOC2: CC6.6"
CM-01,Configuration Management Policy,Configuration Management,HIGH,configuration management; baseline configuration; hardening; secure configuration; system configuration,"FedRAMP: CM-1, NIST_800_53: CM-1, CMMC: CM.L2-3.4.1, SOC2: CC7.1"
CM-02,Change Management / Change Control,Configuration Management,MEDIUM,change management; change control; change request; change approval; cab,"FedRAMP: CM-3, NIST_800_53: CM-3, CMMC: CM.L2-3.4.3, SOC2: CC8.1"
AU-01,Audit Logging & Monitoring,Audit & Accountability,HIGH,audit log; logging; log management; siem; monitoring; centralized logging; event log,"FedRAMP: AU-2, NIST_800_53: AU-2, CMMC: AU.L2-3.3.1, SOC2: CC7.2"
AU-02,Audit Review & Alerting,Audit & Accountability,HIGH,audit review; log review; alert; anomaly detection; threat detection; monitoring alerts,"FedRAMP: AU-6, NIST_800_53: AU-6, CMMC: AU.L2-3.3.5, SOC2: CC7.3"
IR-01,Incident Response Plan,Incident Response,HIGH,incident response; incident plan; ir plan; security incident; breach response; incident handling,"FedRAMP: IR-1, NIST_800_53: IR-1, CMMC: IR.L2-3.6.1, SOC2: CC7.4"
IR-02,Incident Reporting,Incident Response,HIGH,incident reporting; report incidents; breach notification; us-cert; cisa reporting,"FedRAMP: IR-6, NIST_800_53: IR-6, CMMC: IR.L2-3.6.2, SOC2: CC7.4"
RA-01,Risk Assessment,Risk Assessment,HIGH,risk assessment; risk analysis; risk evaluation; threat modeling; vulnerability assessment; risk register,"FedRAMP: RA-3, NIST_800_53: RA-3, CMMC: RM.L2-3.11.1, SOC2: CC3.2"
RA-02,Vulnerability Scanning,Risk Assessment,HIGH,vulnerability scan; vulnerability management; patch management; cve; penetration test; pen test,"FedRAMP: RA-5, NIST_800_53: RA-5, CMMC: RM.L2-3.11.2, SOC2: CC7.1"
SC-01,Data Encryption in Transit,System & Communications,HIGH,encryption in transit; tls; https; ssl; transport encryption; encrypted communications,"FedRAMP: SC-8, NIST_800_53: SC-8, CMMC: SC.L2-3.13.8, SOC2: CC6.7"
SC-02,Data Encryption at Rest,System & Communications,HIGH,encryption at rest; disk encryption; database encryption; aes; data at rest; encrypted storage,"FedRAMP: SC-28, NIST_800_53: SC-28, CMMC: SC.L2-3.13.16, SOC2: CC6.7"
SC-03,Network Segmentation,System & Communications,MEDIUM,network segmentation; firewall; dmz; vlan; network isolation; zero trust; microsegmentation,"FedRAMP: SC-7, NIST_800_53: SC-7, CMMC: SC.L1-3.13.1, SOC2: CC6.6"
PS-01,Security Awareness Training,Personnel Security,MEDIUM,security training; security awareness; phishing training; user training; security education,"FedRAMP: AT-2, NIST_800_53: AT-2, CMMC: AT.L2-3.2.1, SOC2: CC1.4"
PS-02,Personnel Screening / Background Checks,Personnel Security,MEDIUM,background check; personnel screening; vetting; clearance; pre-employment screening,"FedRAMP: PS-3, NIST_800_53: PS-3, CMMC: PS.L2-3.9.1, SOC2: CC1.4"
CP-01,Backup & Recovery,Contingency Planning,HIGH,backup; recovery; disaster recovery; business continuity; rpo; rto; data backup,"FedRAMP: CP-9, NIST_800_53: CP-9, CMMC: RE.L2-3.8.9, SOC2: A1.2"
CP-02,Contingency / Disaster Recovery Plan,Contingency Planning,HIGH,contingency plan; disaster recovery plan; drp; bcp; business continuity plan,"FedRAMP: CP-2, NIST_800_53: CP-2, CMMC: RE.L2-3.8.9, SOC2: A1.3"
SR-01,Third-Party / Vendor Risk Management,Supply Chain,MEDIUM,vendor risk; third-party risk; supply chain; vendor assessment; contractor risk; third party,"FedRAMP: SA-9, NIST_800_53: SR-1, CMMC: CM.L2-3.4.6, SOC2: CC9.2"
MP-01,Media Sanitization,Media Protection,MEDIUM,media sanitization; data destruction; secure disposal; disk wiping; degaussing,"FedRAMP: MP-6, NIST_800_53: MP-6, CMMC: MP.L1-3.8.3, SOC2: CC6.5"
