label,filename,bytes,sha256
MD Risk Mgmt Policy,MD_DOIT_CyberRiskMgmt_Policy.pdf,314708,3b480181d5cf21e51980fbf2a6dec2571c6544ece938498f48ae2fd60725c658
MD System & Network Security Policy,MD_DOIT_SystemNetworkSecurity_Policy.pdf,324296,59ac399a2c4f0acac5f9d5915953a39f907412689bbae17576654a602fa9f3a9
MD Continuous Monitoring Policy,MD_DOIT_ContinuousMonitoring_Policy.pdf,336931,22f0102fbc5a45c02fe09e48d568a843e5f235eb5f3ad86a26dc32b66d4943e8
MD Cybersecurity Council Report 2025,MD_CybersecurityCouncil_Report_2025.pdf,836814,b840757d74f28a67d52d3ef7020423ed2e01239f97cff82f062e8b565af96f60
MD IT Security Manual,MD_IT_SecurityManual.pdf,2137225,b27aa7d36d93f16d2ac18479918d90d6a51392ec3046fbdee6509ee56e9be003
MD Local Gov Cybersecurity 2021,MD_UMGC_LocalGov_Cybersecurity_2021.pdf,2181897,e90ab4a09ea98cd125d2d09f355f67e0d11d1278b6281e0e05bb367761757a22
MD Health Dept IT Security Policy,MD_DHMH_IT_SecurityPolicy.pdf,803180,beeb604fe89f283a1458bf75c4fca07e63ae2ab6f5d6acb8901b6c1c0f95531e
MD Judicial Info Security Policy,MD_Judicial_InfoSecurity_Policy.pdf,378379,7f0567cc59474c1b9d0f34d2de1b98a4526221f21da21181c38c7f6f9e313f3f
MD MSDE Acceptable Use Policy 2024,MD_MSDE_AUP_2024.pdf,385850,0688706917c6c103a206b902352e93605643abee63434b93d3b1a2f20e5c5b9f
MD Procurement Manual,MD_Procurement_Manual.pdf,864365,6e0d61f232d3adb51fd994849e0e6767b24a701fa467fb5514ff62e11a317796
