document,file,pages,words,controls_covered,controls_total,coverage_pct
MD Risk Mgmt Policy,MD_DOIT_CyberRiskMgmt_Policy.pdf,13,2340,11,22,50.0
MD System & Network Security Policy,MD_DOIT_SystemNetworkSecurity_Policy.pdf,9,1423,8,22,36.4
MD Continuous Monitoring Policy,MD_DOIT_ContinuousMonitoring_Policy.pdf,9,1412,9,22,40.9
MD Cybersecurity Council Report 2025,MD_CybersecurityCouncil_Report_2025.pdf,30,9512,14,22,63.6
MD IT Security Manual,MD_IT_SecurityManual.pdf,219,47094,21,22,95.5
MD Local Gov Cybersecurity 2021,MD_UMGC_LocalGov_Cybersecurity_2021.pdf,57,21676,17,22,77.3
MD Health Dept IT Security Policy,MD_DHMH_IT_SecurityPolicy.pdf,122,36960,21,22,95.5
MD Judicial Info Security Policy,MD_Judicial_InfoSecurity_Policy.pdf,19,7124,19,22,86.4
MD MSDE Acceptable Use Policy 2024,MD_MSDE_AUP_2024.pdf,17,4953,10,22,45.5
MD Procurement Manual,MD_Procurement_Manual.pdf,90,25289,8,22,36.4
