document,file,proof_layer_id,control,nist_800_53_r5,risk,covered,n_keywords_matched,n_keywords_total,matched_keywords,hits_near_negation,snippet_1,snippet_2
MD Risk Mgmt Policy,MD_DOIT_CyberRiskMgmt_Policy.pdf,PL-01,Access Control Policy & Procedures,AC-1,HIGH,1,1,4,access policy,0,s that affect a system’s cybersecurity and configuration management. assessments shall include review of network segmentation and access policy enforcement to align to zta and reduce the potential entry points for attackers. 200.3.4 software security assessments: identify ,
MD Risk Mgmt Policy,MD_DOIT_CyberRiskMgmt_Policy.pdf,PL-02,Account Management,AC-2,HIGH,0,0,7,,0,,
MD Risk Mgmt Policy,MD_DOIT_CyberRiskMgmt_Policy.pdf,PL-03,Least Privilege / Role-Based Access,AC-6,HIGH,1,1,7,roles,1,"ce on exception requests and waivers related to this policy. stakeholder department of it (doit) - the department responsible for roles: developing, maintaining, revising, and enforcing information technology policies, procedures, and standards. state chief informa",
MD Risk Mgmt Policy,MD_DOIT_CyberRiskMgmt_Policy.pdf,PL-04,Multi-Factor Authentication (MFA),IA-2,HIGH,1,1,7,authentication,0," or flaw remediation. implementation of security controls shall enforce zta principles through strict access controls, continuous authentication, and least privilege principles. 200.2.5 assess: evaluate applied security controls prior to placing a system into production to ",
MD Risk Mgmt Policy,MD_DOIT_CyberRiskMgmt_Policy.pdf,PL-05,Remote Access Controls,AC-17,MEDIUM,0,0,6,,0,,
MD Risk Mgmt Policy,MD_DOIT_CyberRiskMgmt_Policy.pdf,PL-06,Configuration Management Policy,CM-1,HIGH,1,1,5,configuration management,0,architecture assessments: assess network and architecture designs to identify weaknesses that affect a system’s cybersecurity and configuration management. assessments shall include review of network segmentation and access policy enforcement to align to zta and reduce the potential ,
MD Risk Mgmt Policy,MD_DOIT_CyberRiskMgmt_Policy.pdf,PL-07,Change Management / Change Control,CM-3,MEDIUM,1,2,5,cab; change management,0,"7 process & procedural assessments: review it and security processes and procedures for weaknesses that could be exploited (e.g., change management). 200.3.8 vulnerability disclosure program: all maryland-affiliated properties, systems, and digital assets are subject to the st"," provider. authorization: this policy is authorized by state finance & procurement article (sf&p) § 3.5-303 and § 3.5-2a-04. applicability: this policy applies to all ""units of state government"" (as that term is defined in sf&p 3.5-101(g)), hereafter referred to "
MD Risk Mgmt Policy,MD_DOIT_CyberRiskMgmt_Policy.pdf,PL-08,Audit Logging & Monitoring,AU-2,HIGH,1,1,7,monitoring,0,"s the requirements for managing information security risk to the state by assessing risk, responding to risk once determined, and monitoring risk over time. scope: this policy provides an organizational approach for risk management that addresses all information technol",
MD Risk Mgmt Policy,MD_DOIT_CyberRiskMgmt_Policy.pdf,PL-09,Audit Review & Alerting,AU-6,HIGH,0,0,6,,0,,
MD Risk Mgmt Policy,MD_DOIT_CyberRiskMgmt_Policy.pdf,PL-10,Incident Response Plan,IR-1,HIGH,0,0,6,,0,,
MD Risk Mgmt Policy,MD_DOIT_CyberRiskMgmt_Policy.pdf,PL-11,Incident Reporting,IR-6,HIGH,0,0,5,,0,,
MD Risk Mgmt Policy,MD_DOIT_CyberRiskMgmt_Policy.pdf,PL-12,Risk Assessment,RA-3,HIGH,1,2,6,risk assessment; vulnerability assessment,0,00.2 enterprise risk management strategy ................................................................................ 5 200.3 risk assessments .......................................................................................................................... 6 200,"rocessing state data, agencies shall perform each of the following assessments for systems within their purview: 200.3.1 security vulnerability assessments: deploy vulnerability management practices and technologies to identify vulnerabilities across all facilities, assets, networks,"
MD Risk Mgmt Policy,MD_DOIT_CyberRiskMgmt_Policy.pdf,PL-13,Vulnerability Scanning,RA-5,HIGH,1,1,6,vulnerability management,0,"ll perform each of the following assessments for systems within their purview: 200.3.1 security vulnerability assessments: deploy vulnerability management practices and technologies to identify vulnerabilities across all facilities, assets, networks, and software. 200.3.2 privacy imp",
MD Risk Mgmt Policy,MD_DOIT_CyberRiskMgmt_Policy.pdf,PL-14,Data Encryption in Transit,SC-8,HIGH,0,0,6,,0,,
MD Risk Mgmt Policy,MD_DOIT_CyberRiskMgmt_Policy.pdf,PL-15,Data Encryption at Rest,SC-28,HIGH,0,0,6,,0,,
